#mpa_vJan25_CHOCOPhlAnSGB_202503			
"#/opt/conda/bin/metaphlan /metagenomic_exercise/results/hostremoval/SRR5983464.clean_1.fastq.gz,/metagenomic_exercise/results/hostremoval/SRR5983464.clean_2.fastq.gz --input_type fastq --db_dir /metagenomic_exercise/db/metaphlan_db --nproc 12 --mapout /metagenomic_exercise/results/metaphlan/SRR5983464.mapout.bz2 -o /metagenomic_exercise/results/metaphlan/SRR5983464.profile.tsv"			
#12863085 reads processed			
#SampleID	Metaphlan_Analysis		
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	17.089936	
k__Bacteria	2	82.910064	
k__Bacteria|p__Bacteroidota	2|976	53.977484	
k__Bacteria|p__Firmicutes	2|1239	26.556524	
k__Bacteria|p__Actinomycetota	2|201174	1.411539	
k__Bacteria|p__Pseudomonadota	2|1224	0.876527	
k__Bacteria|p__Bacteria_unclassified	2|	0.08799	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	53.977484	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	24.406712	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.902983	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.34997	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.874951	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.08799	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.067798	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.061569	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.058194	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.041401	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.034843	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.02886	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.015732	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.001576	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	53.977484	
