# Pathway	SRR5983287.clean.concat_Abundance
UNMAPPED	483503.5219083613
UNINTEGRATED	3153078.5734867854
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	588915.3938084051
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	571817.4219821149
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	392806.0169328387
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	276503.4682432304
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	255852.5495687428
UNINTEGRATED|unclassified	237600.6005987730
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	189532.9860310284
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	152776.1541451698
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	129227.7599342857
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	106501.0891972589
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	81198.9474635840
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	67248.8150938798
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	64706.2659370590
UNINTEGRATED|g__Blautia.s__Blautia_obeum	29086.0777751626
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum	24571.4068057951
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	22203.8927731537
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	21810.5395802651
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	19837.6956442212
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	19435.9264963715
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	19395.5451882198
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_100	13396.0072051119
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	8379.6297104727
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	5744.2773564047
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	5230.7818175091
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	2443.9569773275
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	1227.3963740986
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	638.3134919827
PWY-1042: glycolysis IV	3494.1351840944
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_massiliensis	819.6176890110
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_dorei	772.8313206496
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_intestinalis	309.3702842121
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	136.9902186958
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_faecis	125.6728381366
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	75.0485525611
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_hallii	51.3327332453
PWY-1042: glycolysis IV|g__Flavonifractor.s__Flavonifractor_plautii	48.8566021842
PWY-1042: glycolysis IV|unclassified	47.9678204307
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	3455.1972773842
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_dorei	851.4928458136
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	515.5231625722
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	509.4450617002
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_intestinalis	384.8036038728
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	339.0938005755
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_faecis	203.2714404480
