# Pathway	SRR5983451.clean.concat_Abundance
UNMAPPED	2280520.2017872334
UNINTEGRATED	7843889.5995465126
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	1679984.5769745458
UNINTEGRATED|unclassified	1025006.0377486852
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	496609.9705137842
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	324351.4898124997
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	148603.3315667287
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	140048.9738618140
UNINTEGRATED|g__Dialister.s__Dialister_invisus	134701.5275309011
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	127918.5584824826
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	114585.3466314886
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	100342.9442187289
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	99731.7931178173
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	96178.5485969965
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	95779.9348334686
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	91144.4635698972
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	80175.2792424025
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	74338.3949443930
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	71143.8121249067
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	70193.0465090142
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	58205.4351032148
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	56745.9387179445
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	47344.6888534268
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	46461.9687396378
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	45383.3863526657
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	43063.8806828363
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	41596.0688943967
