# Pathway	SRR5983287.clean.concat_Abundance-CPM	SRR5983306.clean.concat_Abundance-CPM	SRR5983438.clean.concat_Abundance-CPM	SRR5983451.clean.concat_Abundance-CPM	SRR5983464.clean.concat_Abundance-CPM
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	6951.63	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	33446.9	4221.54	5560.91	46439.7	88855
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	17405.4	676.531	0	989.738	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114	0	0	0	299.66	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	0	0	183.98	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	0	194.253	0	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	0	0	0	550.156	0
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	16747.3	4480.92	2989.56	1244.15	8322.54
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	1957.98	1142.21	3889.79	0
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	0	0	0	1632.1	0
UNINTEGRATED|g__Hungatella.s__Hungatella_effluvii	0	0	0	167.918	0
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	0	3876.54	1276.65	1976.4	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_aerogenes	0	0	0	369.417	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	4027.05	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	8956.71	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	1353.84	0	0	216.02	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_citroniae	0	0	0	484.616	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	0	5539.3	0	0	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_scindens	0	0	161.988	0	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum	6359.6	0	0	1290.66	0
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	0	0	2982.95	6652.9	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	0	12127.6	13896.4	2898.97
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	0	258.9	364.263	0	759.181
UNINTEGRATED|g__Megasphaera.s__Megasphaera_sp_DISK_18	0	0	0	1957.88	0
UNINTEGRATED|g__Megasphaera.s__Megasphaera_sp_MJR8396C	0	0	324.621	0	0
UNINTEGRATED|g__Mesosutterella.s__Mesosutterella_multiformis	0	0	0	0	1523.33
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	4455.96	0	0
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_CAG_241	0	0	849.343	0	0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	0	10866.8	28027.5	4344.82	29304.4
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_johnsonii	0	0	0	0	1366.58
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	27564.7	5331.18	19481.2	5306.5	17627.1
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	516.922	11962.1	0
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	0	0	3348.49	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	0	24196.3	0	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_corporis	0	0	780.373	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_891	0	1573.7	0	0	0
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	0	0	1650.26	1278.66	0
